fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time
1354,151,Herb Dean,2422.0,3051.0,3051.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
1353,151,Steve Mazzagatti,3767.0,1694.0,3767.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
1352,151,Josh Rosenthal,3155.0,914.0,914.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,3,2:35
1351,151,Yves Lavigne,3676.0,1457.0,1457.0,3,F,Light Heavyweight,M,Decision,Split,3,5:00
1350,151,Herb Dean,870.0,2619.0,2619.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1349,151,Steve Mazzagatti,905.0,2232.0,2232.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1348,151,Josh Rosenthal,3065.0,2101.0,3065.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1347,151,Yves Lavigne,2700.0,1967.0,2700.0,3,F,Lightweight,M,KO/TKO,Knee to Body In Clinch,1,3:28
1346,151,Herb Dean,3564.0,3231.0,3231.0,3,F,Light Heavyweight,M,KO/TKO,Punches to Head At Distance,1,2:13
1345,151,Steve Mazzagatti,1038.0,3691.0,1038.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1344,151,Josh Rosenthal,2959.0,2388.0,2388.0,3,F,Middleweight,M,Submission,Guillotine Choke From Bottom Guard,1,1:06
1343,150,Yves Lavigne,1934.0,925.0,925.0,5,T,Light Heavyweight,M,KO/TKO,Punches to Head From Mount,1,3:35
1342,150,Dan Miragliotta,2178.0,3314.0,2178.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1341,150,Mario Yamasaki,519.0,542.0,542.0,3,F,Lightweight,M,Decision,Split,3,5:00
1340,150,Dan Miragliotta,3019.0,1658.0,1658.0,3,F,Heavyweight,M,KO/TKO,Punches to Head From Mount,2,4:24
1339,150,Mario Yamasaki,3376.0,3814.0,3814.0,3,F,Middleweight,M,Submission,Rear Naked Choke,2,3:25
1338,150,Yves Lavigne,2096.0,3195.0,3195.0,3,F,Middleweight,M,Submission,Rear Naked Choke,2,2:10
1337,150,Philippe Chartier,3290.0,2765.0,3290.0,3,F,Welterweight,M,KO/TKO,Punches to Head At Distance,2,1:23
1336,150,Marc-Andre Cote,2738.0,2591.0,2591.0,3,F,Welterweight,M,Decision,Majority,3,5:00
1335,150,Mario Yamasaki,3809.0,2676.0,3809.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
1334,150,Philippe Chartier,48.0,2683.0,2683.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1333,150,Dan Miragliotta,1942.0,877.0,877.0,3,F,Middleweight,M,KO/TKO,"to    
      Leg Injury",1,2:42
1332,149,Dan Miragliotta,703.0,1901.0,703.0,5,T,Middleweight,M,Decision,Unanimous,5,5:00
1331,149,Herb Dean,1267.0,3122.0,3122.0,5,T,Lightweight,M,Decision,Unanimous,5,5:00
1330,149,Herb Dean,2482.0,2754.0,2482.0,3,F,Welterweight,M,KO/TKO,Punches to Head At Distance,3,4:40
1329,149,Marc Goddard,3056.0,3185.0,3185.0,3,F,Lightweight,M,Submission,Armbar From North South,2,4:30
1328,149,Marc Goddard,2712.0,1569.0,1569.0,3,F,Middleweight,M,KO/TKO,Punches to Head On Ground,2,2:50
1327,149,Dan Miragliotta,2688.0,3288.0,3288.0,3,F,Light Heavyweight,M,Submission,Anaconda Choke From Front Headlock,1,4:55
1326,149,Marc Goddard,1370.0,523.0,523.0,3,F,Welterweight,M,Decision,Split,3,5:00
1325,149,Dan Miragliotta,2371.0,3760.0,2371.0,3,F,Welterweight,M,KO/TKO,Kick to Body At Distance,3,2:08
1324,149,Herb Dean,2257.0,276.0,2257.0,3,F,Lightweight,M,Submission,Guillotine Choke From Front Headlock,2,3:41
1323,149,Marc Goddard,1926.0,4069.0,1926.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
1322,148,Mario Yamasaki,2969.0,2795.0,2969.0,3,F,Lightweight,M,Submission,Rear Naked Choke,3,2:52
1321,148,Dan Miragliotta,1497.0,509.0,1497.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,0:39
1320,148,Mario Yamasaki,1138.0,1026.0,1026.0,3,F,Middleweight,M,KO/TKO,Punches to Head At Distance,2,0:29
1319,148,Dan Miragliotta,1284.0,649.0,1284.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1318,148,Dale Frye,113.0,1402.0,113.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1317,148,Bill Clancy,226.0,377.0,226.0,3,F,Lightweight,M,Decision,Split,3,5:00
1316,148,Dale Frye,3089.0,2052.0,2052.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1315,148,Bill Clancy,319.0,397.0,397.0,3,F,Lightweight,M,KO/TKO,Punches to Head On Ground,1,4:13
1314,148,Dale Frye,1409.0,2006.0,1409.0,3,F,Middleweight,M,TKO - Doctor's Stoppage,Facial Cuts,2,2:47
1313,148,Bill Clancy,2637.0,1674.0,2637.0,3,F,Middleweight,M,KO/TKO,Punches to Head At Distance,1,4:49
1312,148,Dale Frye,3680.0,2557.0,3680.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1311,147,Kevin Mulhall,563.0,2645.0,563.0,5,T,Welterweight,M,Decision,Unanimous,5,5:00
1310,147,Dan Miragliotta,1676.0,3524.0,3524.0,5,T,Heavyweight,M,KO/TKO,Punches to Head On Ground,1,3:48
1309,147,Yves Lavigne,1276.0,3581.0,1276.0,3,F,Lightweight,M,Submission,Rear Naked Choke,2,4:20
1308,147,Dan Miragliotta,803.0,2978.0,2978.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1307,147,Yves Lavigne,1693.0,3746.0,1693.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1306,147,Keith Peterson,3221.0,1863.0,3221.0,3,F,Welterweight,M,KO/TKO,Punches to Head From Back Control,1,2:47
1305,147,Dan Miragliotta,4023.0,3661.0,4023.0,3,F,Welterweight,M,Submission,Rear Naked Choke,2,3:30
1304,147,Kevin Mulhall,1334.0,3165.0,1334.0,3,F,Middleweight,M,Submission,Heel Hook On Ground,1,0:45
